Test Data,Model,Table Category,AccCont,GriTSTop,GriTSCont,GriTSLoc,Adjcont
Non-Canonical,DETR-NC,Simple,0.8678,9872,0.9859,0.982,0.9801
Complex,0.5360,0.9600,0.9618,0.9444,0.9505,,
AII,0.7336,0.9762,0.9761,0.9668,0.9681,,
Canonical,DETR-NC,Simple,0.9349,9933,9920,0.9900,9865
Complex,0.2712,0.9257,0.9290,0.9044,0.9162,,
AII,05851,0.9576,0.9588,0.9449,0.9494,,
Faster R-CNN,Simple,0.0867,8682,0.8571,6869,8024,
Complex,0.1/93,0.8556,0.8507,0.7518,0.7734,,
AII,0.1039,0.8616,0.8538,0.7214,0.7871,,
DETR,Simple,0.9468,0.9949,0.9938,0.9922,0.9893,
Complex,0.6944,0.9752,0.9763,0.9654,0.9667,,
AII,0.8138,19845,0.9846,0.9781,0.9774,,
